advertiser_name,Category,Relevent_Score
Ryan_Hardianz,Other,0
Leo Burnett Colombia,Other,0
Yext,Other,0
Securian Financial,Finance,0
My Smart News,Healthcare,0
Celeb Photo Gallery,Other,0
Aditya Construction Company,Other,0
Online Ad Manager,Other,0
DISH,Election,1
Winnehouse,Jobs,0
Strategic Red,Other,0
Robinhood,Other,0
Coding Dojo,Other,0
CodeSpark Academy with The Foos,Other,0
Booyah Advertising,Other,0
Yosemite Consulting,Other,0
äºäº Bar & Bistro é¤éé¤¨,Other,0
Maxus USA,eCommerce,0
Matt Cohen Digital Marketing,eCommerce,1
Digital Photography School,Other,0
L'Oreal Usa,Other,0
Killi.io,Other,0
Khan Academy,Other,0
Ross Inc.,Other,0
Rue La La,Other,0
Regis Corporation,Other,0
Digitale,Other,0
Procenex Argentina,Other,0
GoodRx,eCommerce,0
Streem,Food,0
instaemi.com,Other,0
Sage Media Planning & Placement,Other,0
SafeGraph,Food,0
AliExpress_Seller,Other,0
AutoZone_Default,Electronics,0
Forward Media Argentina,Jobs,0
Pandora,Enterprise Software,1
Fivetran,Other,0
JioSaavn,Other,0
Slack,Other,0
Sleep Number,Other,0
Rippling,Finance,0
Amazon.co.jp - English,Finance,0
Pigtail Pundits,Finance,0
Remote Tips,Other,0
Crossover,Travel,1
comTalks.com,Media,0
theorangebeans,Media,0
Tray.io,Media,0
Blooom Inc.,Entertainment,0
L.A. Blockchain Summit,Other,0
100130874778177,Other,0
Socialfly,Social Media,1
VICTOR Super Premium Pet Food,Other,0
WMcCann Brasil,Election,1
Bristol Who's Who,eCommerce,1
Frame.io,Other,0
LaunchDarkly,Enterprise Software,0
NS8,Other,0
GEICO,Other,0
Allstate,Other,0
Puja Nayyars Closet,Enterprise Software,0
Neo Media World,Other,0
Feld Entertainment,Other,0
Reprise NYC,Finance,0
Jclub,eCommerce,0
Oportun,Other,0
Craft Sportswear US,Other,0
BM350 Thanh 336,Other,0
SmartAsset.com,Other,0
bubly,Other,0
Copper,Food,1
Rezonate Media,Other,0
Twogether,Other,0
LoyltyRewardz_5,Finance,0
Vizeum - US,Media,0
adverity,Other,0
Digital Marketing Group,eCommerce,0
Pacifica Companies,Other,0
ServiceNow,Election,0
Hong Kong Zoom Interactive Network Marketing Technology Limited,Insurance,0
Launchpad Ignite,Other,0
Mack Weldon,Other,0
Betterment,Other,0
Leap,Education,1
Publicis Media,Media,0
T-Mobile,Other,0
Adventus.io,Other,0
MMI Agency,Other,0
Adobe Marketo Engage,Other,0
Algolia,App,0
20th Century Studios Home Entertainment,App,1
24/7 Laundry Service,Other,0
UM Canada,Other,0
Ramp,Finance,0
Facebook App,Other,0
Rollic,Other,0
Wyndham Hotels & Resorts,Enterprise Software,0
Searchspring,Entertainment,1
Innonic,Other,0
KinderCare Learning Centers,Other,0
CityPASS,Other,0
Handy,Other,0
Typeform,Other,0
Adaptly,Finance,0
WM Paramount,Other,0
Maple Things,Enterprise Software,0
Shutterfly,Other,0
indico,Bed and Bath,1
180byTwo,Other,0
Julia pham,Other,0
Veggie Grill,Other,0
Infinite Agency-GW,Electronics,0
Business Insider,Electronics,0
Allstate Identity Protection,Electronics,0
Asurion,Other,0
Linux Foundation Events,Food,1
Nutanix,Other,0
Medium,HealthCare,0
Old Navy,Other,0
We Are Saatchi,Other,0
Opendoor,Home Goods,0
Lucidchart,Online Games,0
24x7 WordPress Support Desk,Other,0
Prologic Web Design,Other,0
EA - Electronic Arts,App,1
Code Climate,Other,0
Tráº§n Thá» QuyÃªn,App,1
Genesys,Other,0
App in the Air,Other,0
Winc,Finance,0
Sandbox Kids,App,0
Office,Other,0
Essence,Finance,0
BULQ,Media,1
JetPex,Education,0
Samba TV,Other,0
LinkedIn,Media,0
DataStax,Media,0
DRI Yard House,Other,0
Playtika - Jelly Button Games,Other,0
Maybelline New York,Other,0
VaynerMedia,Other,0
Disney,Home Goods,1
Empiricus,Print,1
Resonate,Food,1
Drive with Lyft,Other,0
Acxiom,Other,0
Be The Match,Other,0
WynnBET,Other,0
Barkley,Other,0
GSK,Other,0
Fandango,Finance,0
truth,Healthcare,0
eBay.co.uk,Other,0
Rewind,Other,0
Teladoc,Other,0
Carat - MSFT - USA,Election,1
BVK,Jobs,0
CanvasPeople,Other,0
Bridg Channel,Other,0
Spark Foundry USA,Other,0
Semalt new marketing,Other,0
Zillow,Other,0
Salesforce,Other,0
Nalli,Other,0
GoNoodle,eCommerce,0
VMware Tanzu,eCommerce,1
BSSP,Other,0
Scheels,Other,0
Grammarly,Other,0
Social Lab NY,Other,0
Today,Other,0
Bluefocus,Other,0
Wolfspeed,Other,0
Social Fulcrum,Other,0
Udacity,Other,0
Quicken Loans,eCommerce,0
QuizUp,Food,0
Naukri.com,Other,0
Digital Marketing,Other,0
Cage Point,Food,0
Deloitte Digital,Other,0
Freckle IoT,Electronics,0
Sisense,Jobs,0
Fine Arts Museums of San Francisco,Enterprise Software,1
Coegi,Other,0
Atakama,Other,0
Build the Wave,Other,0
ARM Worldwide,Other,0
Egnyte,Finance,0
SVF,Finance,0
22squared,Finance,0
Starcom USA,Other,0
Firestone Complete Auto Care,Travel,1
GrowthDay,Media,0
Rebtel,Media,0
Harbor Freight,Media,0
JetBlue,Entertainment,0
Toys''R''Us,Other,0
Twilio,Other,0
ADARA,Social Media,1
SOCIALDEALER,Other,0
AGW,Election,1
Ashley HomeStore,eCommerce,1
Gtmhub Ltd.,Other,0
Cathay åæ³°,Enterprise Software,0
UM NY,Other,0
Walt Disney World,Other,0
Socialyse USD,Other,0
Strayer University,Enterprise Software,0
Fedyna Services Limited,Other,0
Uber,Other,0
Smile Direct Club,Finance,0
Critical Mass,eCommerce,0
Deep Red Ink,Other,0
Monster,Other,0
Kelly Scott Madison,Other,0
AE Powerwin BM,Other,0
Perry Ellis International,Other,0
Domino's Pizza,Food,1
Amazon Used & Refurbished,Other,0
Valassis,Other,0
Penrose Hill Winery,Finance,0
Finserv MARKETS,Media,0
TurboTax,Other,0
getabstract.com,eCommerce,0
IProspect NY,Other,0
Expedia,Election,0
Groupon Inc.,Insurance,0
Assembly,Other,0
EsquireAdvertising,Other,0
Appian,Other,0
LiveRamp,Education,1
Brandfolder,Media,0
Buffalo Studios,Other,0
ODC CA,Other,0
Walmart.com,Other,0
Amazon.com,Other,0
PAYBACK India,App,0
Jay Advertising,App,1
American Home Shield,Other,0
Meetsocial HK Digital Marketing Co.ï¼ltd-1,Other,0
Bombora,Finance,0
IHS Markit Automotive,Other,0
OMD USA,Other,0
Experian Marketing Services - Audiences,Enterprise Software,0
Staybuzzy,Entertainment,1
Amobee DMP,Other,0
Dropbox,Other,0
AutoAnything,Other,0
Redis,Other,0
Kinetic Social,Other,0
BerlinRosen,Finance,0
Butler/Till,Other,0
Pabst Blue Ribbon,Enterprise Software,0
OMD Entertainment,Other,0
Smartnews International,Bed and Bath,1
Neo4j,Other,0
Lightning Digital,Other,0
Call Center Studio,Other,0
Harvard Business Review,Electronics,0
Zendesk,Electronics,0
Costco Wholesale,Electronics,0
Varick Media Management,Other,0
Coach,Food,1
Decoded Advertising,Other,0
Acorn: The Influence Company,HealthCare,0
Clearco,Other,0
Macy's,Other,0
160over90,Home Goods,0
AP HS,Online Games,0
MIT Open Learning,Other,0
SOREL,Other,0
BitMango,App,1
Reprise Media MÃ©xico,Other,0
Hunter PR,App,1
Utsav Fashion,Other,0
PushSpring,Other,0
Daon,Finance,0
Allround Learning,App,0
Darden Concepts,Other,0
mParticle,Finance,0
Gram Games,Media,1
Ahalogy,Education,0
Retargetly,Other,0
J3,Media,0
Samsung Developers,Media,0
Coinbase,Other,0
The Home Depot,Other,0
Sling TV,Other,0
WhiteHat Jr,Other,0
Ayman Mostafa E Marketing Consultant & Coach,Home Goods,1
Songmics,Print,1
Netspend,Food,1
Domino Data Lab,Other,0
Neustar FB Syndication,Other,0
Prophet Market Solutions,Other,0
Imemories,Other,0
Skai,Other,0
iFrog Marketing Solutions,Other,0
Dice with Buddies,Finance,0
GameStop,Healthcare,0
Local Alcohol Deals,Other,0
Shanice Hah,Other,0
Rdio,Other,0
Las Vegas Review-Journal,Election,1
Paycor,Jobs,0
WHOSAY,Other,0
Ice.com,Other,0
Vladimir Jones,Other,0
Praytell,Other,0
Minnesota Timberwolves,Other,0
Gilt Groupe Inc,Other,0
Redfin,Other,0
Flipkart Internet Private Limited,eCommerce,0
Carter's,eCommerce,1
King,Other,0
Faraday,Other,0
Logicserve Digital,Other,0
eBags,Other,0
EatStreet,Other,0
IFFCO,Other,0
Absentia Virtual Reality,Other,0
VertoDigital,Other,0
Morningstar,Other,0
Merkle Sokrati,eCommerce,0
Independent Women's Voice,Food,0
Purple Media,Other,0
Code3,Other,0
ABCmouse.com Early Learning Academy,Food,0
Boxed,Other,0
Ciceron,Electronics,0
Razorfish,Jobs,0
Iron Store,Enterprise Software,1
Jerry.ai,Other,0
agoda,Other,0
Aero Opco LLC,Other,0
Big Fish Games,Other,0
Westfield,Finance,0
Skillshare,Finance,0
Shell,Finance,0
LendingTree,Other,0
Pivmo LLC,Travel,1
Orderplus-CLM,Media,0
Construtora Tenda,Media,0
MullenLowe U.S.,Media,0
New York & Company,Entertainment,0
Pusher,Other,0
Gaana Music Festival,Other,0
Living Spaces,Social Media,1
AdParlor,Other,0
ISFP,Election,1
Twilio Segment,eCommerce,1
Faveeo,Other,0
Gap Factory,Enterprise Software,0
Tookitaki,Other,0
Mirraw,Other,0
Amazon.de,Other,0
Blue449 US,Enterprise Software,0
Responsis Pty Ltd,Other,0
Jamkain INR 17,Other,0
Accelerate FP,Finance,0
SingleStore DB,eCommerce,0
Equinox,Other,0
Prezi,Other,0
CoxNext,Other,0
Performance Marketing - USD - Spotify AB,Other,0
WalkMe,Other,0
AccessiBe,Food,1
Vonage,Other,0
Afterpay UK Business Manager,Other,0
insightdottech,Finance,0
Hearts & Science,Media,0
FastTony.es,Other,0
Picsart,eCommerce,0
Pluralsight,Other,0
Gempler's,Election,0
CXO Transform,Insurance,0
2U,Other,0
Hopin,Other,0
Xfinity,Other,0
Frankly Organic Vodka,Education,1
Ogilvy,Media,0
Epsilon Audience Data Provider,Other,0
Whitetruffle,Other,0
VOX Global,Other,0
Vserv Digital Services Private Limited,Other,0
Colorado Technical University,App,0
Coursera,App,1
Tuyen Bus,Other,0
BM Do Phuong 093,Other,0
Httpool Slovenia ASP,Finance,0
Burlington,Other,0
Airbnb,Other,0
Microsoft Customer Insights Center,Enterprise Software,0
Carrefour,Entertainment,1
Unique Influence,Other,0
Lugg,Other,0
Express,Other,0
Gharobaar,Other,0
Toyota Fan Zone,Other,0
Mofiler,Finance,0
Overstock,Other,0
Smartsheet,Enterprise Software,0
HYFN,Finance,0
Times Internet USD,Other,0
Isha Foundation,Other,0
Gulshan Properties,Enterprise Software,0
Digitas North America,Entertainment,1
Emirates,Other,0
PPC,Other,0
Cashmere Boutique,Other,0
SHISEIDO,Other,0
Foursquare,Other,0
The Stoneridge Group,Finance,0
OnSpot Data,Other,0
Travelzoo,Enterprise Software,0
Intuit Mint,Other,0
Edelman Digital NYC,Other,0
Skydeo,Enterprise Software,0
Spark Foundry,Entertainment,1
Custom Ink,Print,1
Family Guy: The Quest for Stuff,Other,0
AdVictory,Bed and Bath,1
L'OrÃ©al Designer Brands Fragrances DMI,Other,0
Magento,Other,0
Ninecolours.com,Other,0
NetApp,Electronics,0
Pal 8 Media,Electronics,0
WMX,Electronics,0
Proof,Other,0
PayPal,Food,1
Wish,Other,0
Zimmerman Advertising,HealthCare,0
edX,Other,0
Coupons.com,Other,0
Tipalti,Home Goods,0
loanbaba.com,Online Games,0
Nate,Other,0
Initiative,Other,0
GuruShots,App,1
OhmConnect,Other,0
Trellix,App,1
DataCamp,Other,0
CBS,Other,0
Flynn,Finance,0
Mountain America Credit Union,App,0
Facebook Portal,Other,0
Cuebiq,Finance,0
Make America Great Again,Media,1
HomeAdvisor,Education,0
